Number,Type,Nature/AI,Source,Premise,Hypothesis,Res,
1,positive,AI,,圣诞节即将来临，小明需要帮妈妈装饰5棵圣诞树。一个小时后，小明帮妈妈装饰了一些圣诞树。,"A.小明装饰了4棵圣诞树。
B.小明装饰了5棵圣诞树。
C.圣诞树不需要装饰。
D.今天是圣诞节。",A,
2,positive,AI,,春节到了，张三需要帮妈妈贴9副春联。过了一会儿，张三贴了一些春联。,"A.张三贴了8副春联。
B.张三贴了9副春联。
C.张三家春节不贴春联。
D.春节还没到。",A,
3,positive,AI,,餐桌上有4块牛排，小李切了一些牛排。牛排很有营养，妈妈特别买来给小李补身体。,"A.小李切了3块牛排。
B.小李切了4块牛排。
C.牛排没有营养。
D.牛排是别人送的。",A,
4,positive,AI,,班级大扫除开始了，小红需要擦10扇窗户。几个小时后，小红擦了一些窗户。她站在桌子上擦最上面的一扇窗户。,"A.小红擦了8扇窗户。
B.小红擦了10扇窗户。
C.班级正在考试。
D.小红没有站在桌子上。",A,
5,positive,AI,,老师要求小兰背诵5首古诗。周末结束，小兰背了一些古诗，她觉得背古诗很有意思。,"A.小兰背了3首古诗。
B.小兰背了5首古诗。
C.老师布置了抄写作业。
D.小兰觉得背古诗没有意思。",A,
6,positive,AI,,社区义务劳动，小李要清理8个垃圾桶。下午时分，小李清理了一些垃圾桶。,"A.小李清理了6个垃圾桶。
B.小李清理了8个垃圾桶。
C.小李拒绝参加社区义务劳动。
D.小李在夜晚清理垃圾桶。",A,
7,positive,AI,,手工课上，老师让大家制作6个纸灯笼。下课铃响，小王制作了一些纸灯笼。,"A.小王制作了4个纸灯笼。
B.小王制作了6个纸灯笼。
C.手工课上老师让大家写数学作业。
D.手工课上老师让大家制作丝绸灯笼。",A,
8,positive,AI,,果园采摘，小张要采摘15个苹果。傍晚收工，小张采摘了一些苹果。,"A.小张采摘了12个苹果。
B.小张采摘了15个苹果。
C.果园里面不能采摘苹果。
D.小张一直到深夜才手工。",A,
9,positive,AI,,图书整理活动，志愿者小赵要整理20本图书。半天过去，小赵整理了一些图书，累得要死。,"A.小赵整理了13本图书。
B.小赵整理了20本图书。
C.小赵不是志愿者。
D,小赵一点也不累。",A,
10,positive,AI,,"运动会筹备，班级需要12箱矿泉水。一天后，体育委员准备了一些矿泉水,花了不少班费。","A.体育委员准备了9箱矿泉水。
B.体育委员准备了12箱矿泉水。
C.体育委员不参加运动会筹备
D.体育委员没有花班费。",A,
11,positive,AI,,书法练习，老师布置写8张毛笔字。晚上，小刘写了一些毛笔字，把家里仅剩的墨水用完了。,"A.小刘写了6张毛笔字。
B.小刘写了8张毛笔字。
C.小刘晚上没有练习书法。
D.墨水没有被用完。",A,
12,positive,AI,,超市促销，促销员要发放30份传单。一天结束，促销员发放了一些传单，吸引了很多人流。,"A.促销员发放了25份传单。
B.促销员发放了30份传单。
C.超市没有搞促销。
D.超市促销没有吸引人流。",A,
13,positive,AI,,装修房子，工人师傅要安装6扇门。到了八月中旬，工人师傅安装了一些门，整体进度非常快。,"A.工人师傅安装了5扇门。
B.工人师傅安装了6扇门。
C.房子没在装修。
D.整体进度偏慢。",A,
14,positive,AI,,花园正在栽种红玫瑰，园丁要种18株红玫瑰。一天下来，园丁种好了一些红玫瑰，给它们浇了水，施了肥。,"A.园丁种好了10株红玫瑰。
B.园丁种好了18株红玫瑰。
C.花园在栽种蓝玫瑰。
D.园丁没有浇水施肥。",A,
15,positive,AI,,中秋节临近，小丽要帮爸爸做6个月饼。半小时后，小丽帮爸爸做了一些月饼，受到了爸爸夸奖。,"A.小丽做了4个月饼。
B.小丽做了6个月饼。
C.今天是中秋节。
D.小丽被爸爸责骂了。",A,
16,positive,AI,,端午节就要到了，小晨要帮奶奶包8个粽子。一段时间后，小晨帮奶奶包了一些粽子，这些粽子样子非常精巧。,"A.小晨包了5个粽子。
B.小晨包了8个粽子。
C.今天是端午节。
D.小晨包的粽子长得很丑。",A,
17,positive,AI,,儿童节快到了，小悠要帮幼儿园老师折11只千纸鹤。过了一阵，小悠帮老师折了一些千纸鹤，这些千纸鹤非常好看。,"A.小悠折了8只千纸鹤。
B.小悠折了5只千纸鹤。
C.今天是儿童节。
D.这些千纸鹤不好看。",A,
18,positive,AI,,重阳节即将来临，小敏要帮爷爷做5个茱萸香囊。一段时间后，小敏帮爷爷做了一些茱萸香囊。,"A.小敏做了4个茱萸香囊。
B.小敏做了5个茱萸香囊。
C.今天是重阳节。
D.小敏做了玫瑰香囊。",A,
19,positive,AI,,国庆节即将来临，小哲要帮爸爸挂7面国旗。过了一会儿，小哲帮爸爸挂了一些国旗。国旗在风中飘扬，非常好看。,"A.小哲挂了6面国旗。
B.小哲挂了7面国旗。
C.今天是国庆节。
D.国旗在风中保持静止。",A,
20,positive,AI,,花朝节快到了，小宇要帮姐姐做9个花球。一段时间后，小宇帮姐姐做了一些花球。花球吸引了很多蜜蜂。,"A.小宇做了5个花朝球。
B.小宇做了9个花朝球。
C.今天是花朝节。
D.花球吸引了很多蚊子。",A,
21,positive,AI,,一天，老师带了苹果、香蕉、榴莲到教室，让小动物们学画水果。因为小动物们都不喜欢榴莲，所以没有小动物画榴莲。如果小动物画了苹果、香蕉，那么他就会得到一枚金牌。如果小动物画了苹果、香蕉中的一种水果，那么他就会得到一枚银牌。最后，小兔子选择画苹果或香蕉。,"A.小兔子获得了银牌。
B.小兔子获得了金牌。
C.老师带了两种水果到教室。
D.有小动物画了榴莲。",A,
22,positive,AI,,一天，老师带了足球、篮球、橄榄球到操场，让同学们选择参加体育活动。因为同学们都不喜欢橄榄球，所以没人选橄榄球。如果同学参加了足球和篮球活动，那么会得到一枚金牌。如果同学参加了足球、篮球中的一项活动，那么会得到一枚银牌。最后，小明选择参加足球或篮球活动。,"A.小明获得了银牌。
B.小明获得了金牌。
C.老师带了五种球到操场。
D.小明参加了三项体育活动。",A,
23,positive,AI,,某天，老师拿了积木、拼图、魔方到教室，让小朋友们选择益智游戏。因为小朋友们都不喜欢魔方，所以没人玩魔方。若小朋友玩了积木和拼图，那么会得到一枚金牌。若小朋友玩了积木、拼图中的一种游戏，那么会得到一枚银牌。最后，小红选择玩积木或拼图。,"A.小红获得了银牌。
B.小红获得了金牌。
C.老师带了四种益智游戏道具到教室。
D.有小朋友玩魔方。",A,
24,positive,AI,,有一天，老师带了毛笔、水彩笔、油画棒到美术教室，让同学们选择绘画工具进行创作。鉴于同学们都不喜欢油画棒，所以没人用油画棒。要是同学用了毛笔和水彩笔进行创作，那么会得到一枚金牌。要是同学用了毛笔、水彩笔中的一种工具创作，那么会得到一枚银牌。最后，小辉选择用毛笔或水彩笔创作。,"A.小辉获得了银牌。
B.小辉获得了金牌。
C.同学们不可以自主选择绘画工具。
D.有同学用油画棒作画。",A,
25,positive,AI,,一天，老师带来了故事书、科普书、漫画书到图书馆，让同学们选择阅读。由于同学们都不喜欢漫画书，所以没人读漫画书。如果同学读了故事书和科普书，那么会得到一枚金牌。如果同学读了故事书、科普书中的一种书，那么会得到一枚银牌。最后，小婷选择读故事书或科普书。,"A.小婷获得了银牌。
B.小婷获得了金牌。
C.有同学读了漫画书。
D.老师没有拿故事书来图书馆。",A,
26,positive,AI,,某天，老师拿了跳绳、毽子、沙包到操场，让同学们选择课间活动。因为同学们都不喜欢沙包，所以没人玩沙包。若同学玩了跳绳和毽子，那么会得到一枚金牌。若同学玩了跳绳、毽子中的一项活动，那么会得到一枚银牌。最后，小宇选择玩跳绳或毽子。,"A.小宇获得了银牌。
B.小宇获得了金牌。
C.小宇参加了五项课间活动。
D.有人玩沙包。",A,
27,positive,AI,,有一天，老师带了黏土、彩纸、吸管到手工教室，让同学们选择材料制作手工艺品。鉴于同学们都不喜欢吸管，所以没人用吸管。要是同学用了黏土和彩纸制作手工艺品，那么会得到一枚金牌。要是同学用了黏土、彩纸中的一种材料制作，那么会得到一枚银牌。最后，小佳选择用黏土或彩纸制作。,"A.小佳获得了银牌。
B.小佳获得了金牌。
C.小佳没有使用任何材料。
D.同学们都很喜欢吸管。",A,
28,positive,AI,,一天，老师带来了象棋、跳棋、围棋到教室，让同学们选择棋类游戏。由于同学们都不喜欢围棋，所以没人下围棋。如果同学下了象棋和跳棋，那么会得到一枚金牌。如果同学下了象棋、跳棋中的一种棋，那么会得到一枚银牌。最后，小晨选择下象棋或跳棋。,"A.小晨获得了银牌。
B.小晨获得了金牌。
C.同学们都喜欢围棋。
D.小晨玩了三种棋类游戏。",A,
29,positive,AI,,某天，老师拿了篮球鞋、足球鞋、网球鞋到体育器材室，让同学们选择运动鞋参加比赛。因为同学们都不喜欢网球鞋，所以没人选网球鞋。若同学选了篮球鞋和足球鞋，那么会得到一枚金牌。若同学选了篮球鞋、足球鞋中的一种鞋，那么会得到一枚银牌。最后，小豪选择了篮球鞋或足球鞋。,"A.小豪获得了银牌。
B.小豪获得了金牌。
C.有人选了网球鞋。
D.小豪选了三种运动鞋。",A,
30,positive,AI,,有一天，老师带了彩泥、陶泥、超轻黏土到手工教室，让同学们选择材料制作雕塑。鉴于同学们都不喜欢陶泥，所以没人用陶泥。要是同学用了彩泥和超轻黏土制作雕塑，那么会得到一枚金牌。要是同学用了彩泥、超轻黏土中的一种材料制作，那么会得到一枚银牌。最后，小萱选择用彩泥或超轻黏土制作。,"A.小萱获得了银牌。
B.小萱获得了金牌。
C.小萱选了陶泥。
D.小萱用了三种材料。",A,
31,positive,AI,,一天，老师带来了篮球服、足球服、排球服到更衣室，让同学们选择队服参加比赛。由于同学们都不喜欢排球服，所以没人选排球服。如果同学选了篮球服和足球服，那么会得到一枚金牌。如果同学选了篮球服、足球服中的一种队服，那么会得到一枚银牌。最后，小宁选择了篮球服或足球服。,"A.小宁获得了银牌。
B.小宁获得了金牌。
C.小宁选了排球服。
D.小宁选了三种队服。",A,
32,positive,AI,,某天，老师拿了素描纸、水彩纸、卡纸到美术教室，让同学们选择纸张进行绘画。因为同学们都不喜欢卡纸，所以没人用卡纸。若同学用了素描纸和水彩纸绘画，那么会得到一枚金牌。若同学用了素描纸、水彩纸中的一种纸绘画，那么会得到一枚银牌。最后，小萌选择用素描纸或水彩纸绘画。,"A.小萌获得了银牌。
B.小萌获得了金牌。
C.同学们都喜欢卡纸。
D.小萌用了三种纸张。",A,
33,positive,AI,,有一天，老师带了口琴、竖笛、陶笛到音乐教室，让同学们选择乐器进行演奏。鉴于同学们都不喜欢陶笛，所以没人选陶笛。要是同学选择口琴和竖笛进行演奏，那么会得到一枚金牌。要是同学选择口琴、竖笛中的一种乐器演奏，那么会得到一枚银牌。最后，小辉选择参加口琴或竖笛演奏。,"A.小辉获得了银牌。
B.小辉获得了金牌。
C.小辉喜欢陶笛。
D.小辉选了三种乐器。",A,
34,positive,AI,,一天，老师带来了轮滑鞋、滑板、平衡车到操场，让同学们选择代步工具进行练习。由于同学们都不喜欢平衡车，所以没人选平衡车。如果同学选择轮滑鞋和滑板进行练习，那么会得到一枚金牌。如果同学选择轮滑鞋、滑板中的一种代步工具练习，那么会得到一枚银牌。最后，小阳选择了轮滑鞋或滑板练习。,"A.小阳获得了银牌。
B.小阳获得了金牌。
C.小阳喜欢平衡车。
D.小阳选了三种代步工具。",A,
35,positive,AI,,某天，老师拿了羽毛球拍、乒乓球拍、网球拍到体育馆，让同学们选择球拍进行球类运动。因为同学们都不喜欢网球拍，所以没人选网球拍。若同学选了羽毛球拍和乒乓球拍进行运动，那么会得到一枚金牌。若同学选了羽毛球拍、乒乓球拍中的一种球拍运动，那么会得到一枚银牌。最后，小凯选择了羽毛球拍或乒乓球拍运动。,"A.小凯获得了金牌。
B.小凯获得了银牌。
C.小凯选了网球拍。
D.小凯选了三种球拍。",A,
36,positive,AI,,有一天，老师带了积木块、乐高积木、雪花片到教室，让同学们选择玩具进行搭建。鉴于同学们都不喜欢雪花片，所以没人玩雪花片。要是同学选择积木块和乐高积木进行搭建，那么会得到一枚金牌。要是同学选择积木块、乐高积木中的一种玩具搭建，那么会得到一枚银牌。最后，小莉选择了积木块或乐高积木。,"A.小莉获得了银牌。
B.小莉获得了金牌。
C.同学们都喜欢雪花片。
D.小莉选了三种玩具。",A,
37,positive,AI,,一天，老师带来了象棋盘、跳棋盘、围棋盘到教室，让同学们选择棋盘下棋。由于同学们都不喜欢围棋盘，所以没人选围棋盘。如果同学选择象棋盘和跳棋盘下棋，那么会得到一枚金牌。如果同学选择象棋盘、跳棋盘中的一种棋盘下棋，那么会得到一枚银牌。最后，小豪选择了象棋盘或跳棋盘下棋。,"A.小豪获得了银牌。
B.小豪获得了金牌。
C.小豪选了围棋。。
D.小豪选了三种棋盘。",A,
38,positive,AI,,某天，老师拿了毛笔字帖、硬笔字帖、英文字帖到教室，让同学们选择字帖进行书法练习。因为同学们都不喜欢英文字帖，所以没人选英文字帖。若同学选择毛笔字帖和硬笔字帖进行练习，那么会得到一枚金牌。若同学选择毛笔字帖、硬笔字帖中的一种字帖练习，那么会得到一枚银牌。最后，小悠选择了毛笔字帖或硬笔字帖练习。,"A.小悠获得了银牌。
B.小悠获得了金牌。
C.小悠选了英文字帖。
D.小悠选了三种字帖。",A,
39,positive,AI,,有一天，老师带了彩铅、蜡笔、马克笔到美术教室，让同学们选择画笔进行绘画创作。鉴于同学们都不喜欢蜡笔，所以没人用蜡笔。要是同学选择彩铅和马克笔进行创作，那么会得到一枚金牌。要是同学选择彩铅、马克笔中的一种画笔创作，那么会得到一枚银牌。最后，小泽选择了彩铅或马克笔进行创作。,"A.小泽获得了银牌。
B.小泽获得了金牌。
C.小泽选了蜡笔。
D.小泽选了三种画笔。",A,
40,positive,AI,,一天，老师带来了篮球、足球、排球到操场，让同学们选择球进行体育活动。由于同学们都不喜欢排球，所以没人选排球。如果同学选择篮球和足球进行活动，那么会得到一枚金牌。如果同学选择篮球、足球中的一种球进行活动，那么会得到一枚银牌。最后，小宇选择选篮球或足球活动。,"A.小宇获得了银牌。
B.小宇获得了金牌。
C.同学们都喜欢排球。
D.小宇选了三种球。",A,
41,positive,Nature,知侠 铁道游击队1,春夜的田野很静，微风吹拂着，朦胧的月光下是一片起伏的麦浪，天已经暖和了。,"A.春夜里没有刮大风。
B.春夜里无风。
C.朦胧的月光什么也没有。
D.春夜的田野很吵闹。",A,
42,positive,Nature,姚雪垠 李自成2,她重新望一望刚才同太子摔跤并将太子摔倒后压在下边的那个小太监，叫他抬起头来。那是一个面貌俊秀、身材匀称，生着一双虎灵灵大眼睛的十二岁孩子，吓得脸色煞白。,"A.小太监不瘦弱。
B.小太监有点肥胖。
C.小太监没被吓着。
D.小太监十三岁。",A,
43,positive,Nature,吴强 红日,秦守本和班里的战士们，默默地检查着武器、弹药等等。张德来困倦得很，解背包打算睡觉，秦守本制止了他，告诉他战斗的时候，睡觉一律不解背包。,"A.张德来没有睡着。
B.张德来很清醒。
C.秦守本和班里的战士们，大张旗鼓地检查着武器、弹药等等。
D.秦守本告诉张德来战斗的时候，睡觉一定要解背包。",A,
44,positive,Nature,欧阳山 三家巷,这样，在一个下着小雨的、暖和的、冬天的晚上，陈文雄、何守仁两个请周榕、周炳两个到西关一家极有名、极华贵的酒家，叫做“谟觞酒家”的去吃晚饭。,"A.在一个不寒冷的晚上，陈文雄、何守仁两个请周榕、周炳两个吃晚饭。
B.在一个炎热的晚上，陈文雄、何守仁两个请周榕、周炳两个吃晚饭。
C.陈文雄、何守仁两个请周榕、周炳两个到“谟觞酒家”去吃中饭。
D.“谟觞酒家”很不出名。",A,
45,positive,Nature,梁斌 红旗谱,朱老忠吆喝牲口，车子慢慢走过曹锟花园，经过水磨，向第二师范门口走去。街上来往行人稀少，岗兵们盯着这辆奇怪的骡车，在墙根下不急不慌地走着。,"A.街上来往行人不多。
B.街上没有行人。
C.朱老忠吆喝牲口，车子快速走过曹锟花园，经过水磨，向第二师范门口走去。
D.这辆奇怪的骡车走得很急。",A,
46,positive,Nature,网络语料,其实最好是喝常温的水进行降温，流汗过多可在水中加入少量的盐。,"A.最好不要喝热水进行降温。
B.最好是喝冰水进行降温。
C.流汗过多可以喝含盐的水。
D.流汗过多可在水中加入大量的盐。",A,
47,positive,Nature,1950年《人民日报》,经过四天的试验，成绩良好，每日可增产焦炭一大炉，计六．四吨，质量也合乎标准。,"A.经过四天的试验，成绩并不差。
B.经过四天的试验，成绩优秀。
C.经过四天的试验，每日可增产焦炭两大炉。
D.质量不合标准。",A,
48,positive,Nature,蔡东藩 清史演义,锡麟深以为然，他家本是小康，又经同志帮助，凑成了万余金，捐了一个安徽候补道。,"A.他家本不富裕。
B.他家贫穷。
C.他家还没凑到万余金。
D.他家没有捐一个安徽候补道。",A,
49,positive,Nature,毕飞宇/1975年的春节,家境富裕有一个重要标志，那就是家里有手电筒。冰封的日子里所有的手电筒都一起出动了，不只是我们村，沿岸王家庄、张家庄、柳家庄、高家庄、徐家庄、李家庄的手电筒一起汇集在了冰面的四周，手电筒的光是白色的，冰是白色的。,"A.家境不贫穷的一个重要标志，那就是家里有手电筒。
B.家境小康的一个重要标志，那就是家里有手电筒。
C.冰封的日子里没有手电筒出动。
D.手电筒的光不是白色的。",A,
50,positive,Nature,余华/在细雨中呼喊,他风格独特的叫唤格外引人注目，可那一付贫穷的样子让人将信将疑。到头来还真有一户人家请他上门就诊，我祖父行医生涯第一个病人，也是最后一个，是个腹泻不止的男孩。,"A.他那一付不富裕的样子让人将信将疑。
B.他那一付小康的样子让人将信将疑。
C.他风格独特的叫唤没有引起其他人注意。
D.我祖父的病人是一个女孩。",A,
51,positive,Nature,1960人民日报,在这里毕业后，因为学习成绩优秀，被国家保送到索非亚市工学院学习一年后，就到苏联留学去了。,"A.在这里毕业后，因为学习成绩不差，被保送了。
B.在这里毕业后，因为学习成绩良好，被保送了。
C.他没能从这里毕业。
D.他没去苏联留学。",A,
52,positive,Nature,1962人民日报,今年初，四年级一班转来了一个名叫李永孝的学生，他很贪玩，常常旷课，学习成绩差，同时也有自卑心理。,"A.他学习成绩不优秀。
B.他学习成绩良好。
C.他从不旷课。
D.他非常自傲。",A,
53,positive,Nature,1960人民日报,社员们迎着北风，早晚在山头上吃着冰冷的地瓜米，劈草炼山，破石填谷，三、四天内就剃光了几座大山头。,"A.社员们早晚在山头上吃着不热的地瓜米。
B.社员们早晚在山头上吃着常温的地瓜米。
C.社员们迎着南风。
D.社员们一个月才剃光了一座大山头。",A,
54,positive,Nature,张爱玲 更衣记,你在竹竿与竹竿之间走过，两边拦着绫罗绸缎的墙──那是埋在地底下的古代宫室里发掘出来的甬道。你把额角贴在织金的花绣上。太阳在这边的时候，将金线晒得滚烫。,"A.太阳在这边的时候，将金线晒得不冷了。
B.太阳在这边的时候，将金线晒得温热了。
C.你把额角贴在织银的花绣上。
D.你在竹竿与竹竿之间走过，两边拦着水泥的墙。",A,
55,positive,Nature,1983 读者,本店招聘身强力壮、体重肥胖而又想减重的女工，从事繁重但报酬优厚的洗衣工作。凡愿减轻体重者望从速前来洽谈。,"A.本店招聘身强力壮、体重不苗条的女工。
B.本店招聘身强力壮、体重匀称的女工。
C.凡愿增加体重者望从速前来洽谈。
D.本店报酬稀薄。",A,
56,positive,Nature,1989 人民日报,今年23岁的刘淑珍身高1.67米，体重64公斤，身材匀称健壮，一对眼睛明亮有神。她出生在我国“田径之乡”河北唐山，从小活泼好动，喜欢蹦跳，简直是个“疯丫头”。,"A.刘淑珍身材并不肥胖。
B.刘淑珍身材纤细。
C.刘淑珍双眼无神。
D.刘淑珍非常文静。",A,
57,positive,Nature,2004 人民日报,我国专业化的物流服务虽然有了很大发展，但仍然不能满足社会化物流的需求，主要是现有的物流企业大部分规模偏小，功能单一，服务水平和能力不高。,"A.现有的物流企业大部分规模不大。
B.现有的物流企业大部分规模适中。
C.现有的物流企业大部分功能多样化。
D.我国专业化的物流服务没有发展。",A,
58,positive,Nature,1963 人民日报,在降雨比较适中，目前棉花生长良好的南阳、信阳专区，广大社员除了积极防治棉花后期虫害，进行整枝、打杈以外，还给棉田施了攻桃肥。,"A.南阳、信阳专区降雨没有很多。
B.南阳、信阳专区降雨没有稀缺。
C.南阳、信阳专区棉花生长很差。
D.没有社员给棉田施攻桃肥。",A,
59,positive,Nature,欧阳山 苦斗,陈杨氏听着开心，就笑了一笑；忽然又觉着头疼，就皱起眉毛。,"A.陈杨氏听着并未狂喜。
B.陈杨氏听着伤心。
C.陈杨氏不觉得头疼。
D.陈杨氏舒展了眉毛。",A,
60,positive,Nature,巴金 家,觉慧听见这凄惨的声音，想到那两段伤心的故事，他还能够为这个少女的愚蠢行为发笑吗？他无论如何不能够笑，而且也不想笑了。,"A.觉慧想到了那两段并不开心的故事。
B.觉慧想到了那两段狂喜的故事。
C.他可以想。
D.他也想笑。",A,
61,negative,,,一天，老师带了苹果、香蕉、榴莲到教室，让小动物们学画水果。因为小动物们都喜欢榴莲，所以每个小动物都画了榴莲。如果小动物，苹果、香蕉都没画，那么他就会得到一枚银牌。如果小动物只有苹果、香蕉中的一种水果没画，那么他就会得到一枚金牌。最后，小兔子没画苹果或香蕉。,"A.小兔子获得了银牌。
B.小兔子获得了金牌。
C.老师带了两种水果到教室。
D.没有小动物画了榴莲。",A,
62,negative,,,一天，老师带了足球、篮球、橄榄球到操场，让同学们选择参加体育活动。因为同学们都喜欢橄榄球，所以每个人都选了橄榄球。如果同学足球、篮球活动都没参加，那么会得到一枚银牌。如果同学只有足球、篮球中的一项活动没参加，那么会得到一枚金牌。最后，小明没参加足球或篮球活动。,"A.小明获得了银牌。
B.小明获得了金牌。
C.老师带了五种球到操场。
D.小明参加了三项体育活动。",A,
63,negative,,,某天，老师拿了积木、拼图、魔方到教室，让小朋友们选择益智游戏。因为小朋友们都喜欢魔方，所以每个人都玩了魔方。若小朋友积木、拼图都没玩，那么会得到一枚银牌。若小朋友只有积木、拼图中的一种游戏没玩，那么会得到一枚金牌。最后，小红没玩积木或拼图。,"A.小红获得了银牌。
B.小红获得了金牌。
C.老师带了四种益智游戏道具到教室。
D.没有小朋友玩魔方。",A,
64,negative,,,有一天，老师带了毛笔、水彩笔、油画棒到美术教室，让同学们选择绘画工具进行创作。鉴于同学们都喜欢油画棒，所以每个人都用了油画棒。要是同学毛笔、水彩笔都没有用，那么会得到一枚银牌。要是只有毛笔、水彩笔中的一种工具没有用，那么会得到一枚金牌。最后，小辉没有用毛笔或水彩笔创作。,"A.小辉获得了银牌。
B.小辉获得了金牌。
C.同学们不可以自主选择绘画工具。
D.没有同学用油画棒作画。",A,
65,negative,,,一天，老师带来了故事书、科普书、漫画书到图书馆，让同学们选择阅读。由于同学们都喜欢漫画书，所以每个人都读了漫画书。如果同学故事书、科普书都没有用，那么会得到一枚银牌。如果同学读只有故事书、科普书中的一种书没有读，那么会得到一枚金牌。最后，小婷没有读故事书或科普书。,"A.小婷获得了银牌。
B.小婷获得了金牌。
C.没有同学读了漫画书。
D.老师没有拿故事书来图书馆。",A,
