Number,Type,Nature/AI,Source,Premise,Hypothesis,Res
125,if,Nature,张贤亮 邢老汉和狗的故事,这一下，事情闹大了，第二矿场的生产计划整个乱了套。局领导立刻下令检查原因，如果是德国人的错，就要向德国公司要求赔偿。这个任务，当然落在机械总厂的头上。,"A.存在错误。
B.德国人是故意犯错的。
C.第二矿场的生产计划井然有序。 
D.局领导下令不用检查原因。",A
126,if,Nature,沈永兴_朱贵生 二战全景纪实,他们的目的非常清楚，就是在进行投降谈判过程中，通过许诺来使我们的反抗意志消沉下去。我们大家都知道，如果集团军停止抵抗，我们将面临什么样的危险：我们中的多数人必然死亡，或者死于敌人的枪弹，或者在可耻的西伯利亚俘虏营死于饥饿和折磨。,"A.集团军之前在抵抗。
B.集团军是雇佣兵。
C.我们大家都不知道停止抵抗要面对的危险。
D.他们的目的不清楚。",A
127,if,Nature,梁晓声 感觉日本,如果他们真的忘记了山本五十六的话，那么中国人民也可以忘记周恩来总理代表中国人民对日本予以的宽恕。是的，中国虽有原子弹，但决不会往日本发射。中国人民首先会向日本重新索讨战争赔款。,"A.他们应该记得山本五十六的话。
B.他们应该记得上本五十六说过的每一个字。
C.中国将向日本发射原子弹。
D.中国没有原子弹。",A
128,if,Nature,冯德英 苦菜花,他是知道团长的脾气的，如果他再去要求一遍，团长就会发火了。于团长就是这样的人，眼熬红，脸熬黄，但他总是精力充沛，在工作时从不打个哈欠。,"A.他之前提过要求。
B.他之前要求团长戒烟。
C.他不知道团长的脾气。
D.于团长精力不充沛。",A
129,if,Nature,刘震云 单位,他从瘦瘦的脸上毫无油水和光彩的老何身上，看到了自己的影子。如果自己像老何那样，快到五十岁了，仍然是个科员，领那样的工资，住那样的房子，怎么向老婆孩子交待？于是觉得身上冷飕飕的。,"A.老何快到五十岁了，仍然是个科员。
B.老何因为没有关系，所以五十岁了还是个科员。
C.他从胖胖的脸上毫无油水和光彩的老何身上，看到了自己的影子。
D.他觉得身上很热。",A
130,if,Nature,知侠 铁道游击队1,如果那边也有敌人封锁，上不得岸，就被迫在水里作战。可是熟悉扒火车的队员，大多是不会泅水的。如果坐船在水里和敌人遭遇，那就很难应付。,"A.别的地方有敌人封锁。
B.其他所有地方都有敌人封锁。
C.熟悉扒火车的队员，大多是会泅水的。
D.如果坐船在水里和敌人遭遇，很容易应付。",A
131,if,Nature,姚雪垠 李自成1,他知道如果他不能忍受奚落，自己惹祸不打紧，同敌作战的大事也不用谈了。于是他勉强笑一笑，说：“敌人方胜而骄。正因为是月夜，他们会更加大意，疏于提防。”,"A.他曾经或将要受到奚落。
B.受到奚落会使他痛不欲生。
C.他一笑也不笑。
D.因为是月夜，他们不会大意。",A
132,if,Nature,刘慈欣 三体III,"如果情报主体被公布,可能出现全世界的解读热潮,这可能危及到云天明的安全。云天明的安全如此重要，并不仅仅是为他个人考虑,目前,他仍然是唯一个身处外星社会并深人星际的人,未来,他的重要性不可取代。","A.有情报主体存在。
B.有多个情报主体存在。
C.云天明的安全不重要。
D.未来，云天明可以被替代。",A
133,if,Nature,余华 在细雨中呼喊,南门如果还有值得怀念的地方，显然就是那口池塘。当我得知南门被征用，最初的反应就是对池塘命运的关心。那个使我感到温暖的地方，我觉得已被人们像埋葬苏宇那样埋葬掉了。,"A.南门有一口池塘。
B.南门有一口非常清澈的池塘。
C.南门没有被征用。
D.我不关心池塘的命运。",A
134,if,Nature,张贤亮 邢老汉和狗的故事,我曾想，一定有许多人像他一样想寻死而没有力气和没有心思去寻死。生，对于一些人来说仅仅是一种习惯，一种惰性罢了。如果死亡和散步一样轻而易举，人口过于膨胀的世界至少会自动消失掉三分之二。,"A.散步轻而易举。
B.散步一整天不间断很轻松。
C.这个世界人口不够膨胀。 
D.没有人想寻死。",A
135,if,Nature,李晓明 平原枪声,不过他对杨百顺深信不疑。他知道近些时杨百顺和刘中正的矛盾，如果让杨百顺知道这情况是刘中正弄来的，必然影响杨百顺工作的进行。,"A.刘中正弄出了一些情况。
B.刘中正弄出了不可挽回的情况。
C.近些时杨百顺和刘中正没有矛盾。
D.他怀疑杨百顺。",A
136,if,Nature,皮皮 比如女人,乌伟问的这句话倒是发自真心，如果他要离婚，那肯定他的婚姻有了天大的问题。也许他永远不能理解耿林为了另一个女人居然想结束持续了很久的婚姻。　,"A.他结过婚。
B.他和老婆没有感情了。
C.乌伟问的这句话不是发自真心。
D.乌伟可以理解耿林为了另一个女人想结束持续了很久的婚姻。",A
137,if,Nature,姚雪垠 李自成2,下午，杨嗣昌的一位亲信幕僚前来看他，对他说阁部大人对他十分倚重，决定即日拜本上奏，保他升任总兵；如果他再打一个大胜仗，阁部大人将奏请皇上将左良玉的“平贼将军”印夺来给他。,"A.他之前打过大胜仗。
B.日本最大的胜仗是他打的。
C.上午，杨嗣昌的一位亲信幕僚前来看他。
D.阁部大人看不起他。",A
138,if,Nature,陈建功_赵大年 皇城根,如果金枝忍受不了这粗暴，拨腿而去，事情就简单了，王喜希望她这样。这样他可以不必说出那些难以启齿的话。王喜哪里知道，金枝的心里，藏着一个愉快的消息，与这消息共存的，是无数美好的懂憬，为了这些，她是不会拨腿而去的。,"A.金枝受到了粗暴的对待。
B.金枝忍耐力差。
C.王喜不希望金枝拔腿而去。
D.王喜知道金枝的心里藏着一个愉快的消息。",A
139,if,Nature,芙蓉三变 非诚勿扰,如果清醒过来重新变得聪明，那么就是不爱的开始。病来如山倒，病去如抽丝。一场爱情和一场大病没什么两样。要用多少的心力才能让自己看开，要有多少的伤心才能让自己觉醒。离开，说起来容易，生生割掉曾经那么融入骨血的部分，哪有那么简单。沈醉直到今天才能明白，原来过去看小说的时候大言不惭的刻薄痴情的女主角是件多么无知的事情。,"A.沈醉之前聪明过。
B.沈醉之前聪明绝顶，是个天才。
C.一场爱情和一场大病存在很大的区别。
D.离开是很简单的事。",A
140,if,Nature,巴金 家,他最后说冯家的亲事绝不能打消，如果觉民到月底还不回家，就登报不承认他是高家的子弟，而叫觉慧代替他应承这件亲事。觉新不敢再说什么了，他唯唯地答应着。从祖父的房里退出来以后，他马上找了觉慧来，把祖父的话告诉觉慧。他重述着祖父的话，想借此威胁觉慧。,"A.觉民之前没回家。
B.觉民在外面出事了。
C.觉新不敢再说什么了，他一言不发表示拒绝。
D.从祖父的房里退出来以后，他没有找觉慧。",A
141,if,Nature,史铁生 《众生》,如果你要挽回你的过失，你就只有这样去做了。这盒子里现在已经遍布着生命和情感了，如果你毁了它，则无异于一场灭绝种类的大屠杀，你当然不能这么干。,"A.你犯下了过失。
B.我犯下了杀人的过失。
C.盒子里没有任何生命和情感。
D.你能这么干。",A
142,if,Nature,张贤亮 邢老汉和狗的故事,如果财产更多一点，还有一面墙供你利用。你可以把东西捆扎起来挂在墙上。更妙的是，你要看点书，写封家信，抑或心灵中那秘密的一角要展开活动，你就干脆面朝着墙，那么，现实世界的一切都会远远地离开你，你能够去苦思冥想。,"A.本来就有一些财产。
B.财产是抢来的。
C.你不可以把东西捆扎起来挂在墙上。
D.面朝着墙不能苦思冥想。",A
143,if,Nature,方方 白雾,江北那个案子跟钢厂这个有相近之处。所以我想如果我们找到这个主人或许会有那么点突破。作为重大案件，我不能错过任何一点直觉，所以为以防万一，我还是决定布下埋伏点。,"A.存在主人。
B.存在女主人。
C.作为重大案件，我不能凭借任何一点直觉。
D.江北那个案子跟钢厂这个完全不同。",A
144,if,Nature,张贤亮 邢老汉和狗的故事,他奇怪自己竟然对一切发生的和没有发生的事都无所谓，但他更奇怪的是自己心中竟然还残留着对女人的爱。然而，如果他仍然对一切发生的和没有发生的事都件件挂心，那便辜负了他彻底破灭的初恋。,"A.他之前对一切发生的和没有发生的事都件件挂心。
B.他之前对所有的事都殚精竭虑。
C.他不奇怪自己竟然对一切发生的和没有发生的事都无所谓。
D.他心中完全没有对女人的爱。",A
145,if,Nature,柳建伟 突出重围,如果我们的思维依旧迟钝僵化，恐怕从此就失去和他同场竞技的资格了。他最终的作战意图，实际上已经暴露无遗。他不是想用导弹，至少在我们的CI系统完整的情况下用不成导弹，他是准备切断我们的生命线。,"A.我们的思维之前迟钝僵化。
B.我们的思维被荼毒了。
C.他最终的作战意图没有暴露。
D.他想用导弹。",A
146,if,Nature,马兰 桂圆干,李儿坚守着她与王忠关系最为黑暗的一幕，我和平阳的痛苦是现实的真切的平常夫妻过日子不顺的痛苦。如果平阳恢复美貌，不再吸白粉，我们仍然是平凡的恩爱夫妻。,"A.平阳之前很貌美。
B.平阳脸被刀划了。
C.我和平阳的痛苦不是现实的真切的平常夫妻过日子不顺的痛苦。
D.李儿没有坚守着她与王忠关系最为黑暗的一幕。",A
147,if,Nature,余秋雨 《上海人》,如果上海人的精明只停留在这些地方，那就不算讨厌。但是，在这座城市，你也可以处处发现聪明过度的浪费现象。不少人若要到市内一个较远的地方去，会花费不少时间思考和打听哪一条线路、几次换车的车票最为节俭，哪怕差三伍分钱也要认真对待。,"A.上海人是精明的。
B.上海人是中国人中最精明的。
C.这座城市没有聪明过度的浪费现象。。
D.上海人三伍分钱并不认真对待。",A
148,if,Nature,杨沫 青春之歌,如果林道静不是叛徒，如果她依然在出生入死地、忠心耿耿地为祖国为人民在奋斗着；那么，戴愉，郑君才——她心爱的人，她把美好的青春，把痴心的热恋都交给了他的人，就是一个可耻的叛徒，就是一个恶毒的伪君子，甚至是比这个更可怕的人。而她自己呢？自己呢？她同他已经一同堕入的又是个多么可怕的深渊呵！由于林道静那封信的启发，也由于许多事实的证明，她早想到了这一点了。但是她害怕自己这样想。,"A.林道静之前在出生入死地、忠心耿耿地为祖国为人民在奋斗着。
B.林道静是地下党的领导人。
C.由于林道静那封信的启发，也由于许多事实的证明，她忘记了这一点。
D.她不害怕自己这样想。",A
149,if,Nature,网络语料 微信公众号,既然互联网的总开关在美国，你的计算机如果又使用人家的芯片，在今后的网络战中不论你有多少招，也都是孙猴子在如来佛掌中翻跟斗。我们曾提出过“跨越式发展”的战略口号，因理论准备不充分，却不能回答如何跨越的问题。,"A.你的计算机之前使用过人家的芯片。
B.你的计算机之前使用的是最先进的芯片。
C.我们没有提出过“跨越式发展”的战略口号。
D.理论准备很充分。",A
150,if,Nature,姚雪垠 李自成2,老蒋跪在窝棚上，他祷告河神能够放过他那几间土房，但是他那窠巢，显然是不存在了。他想如果是俗儿造的孽，那就叫人们把她抛进水里去吧。,"A.有人造了孽。
B.俗儿造了孽。
C.老蒋睡在窝棚上。 
D.他那窠巢还在。",A
151,if,Nature,陈忠实 白鹿原,这一切都是冥冥之中的神灵给他白嘉轩的精确绝妙的安排。再说，如果他像往常一样清早起来在后院的茅厕里撒尿，而不是一直把那泡尿憋到土岗上去撒，那麽他就只会留心脚下的跌滑而注定不敢东张西望了，自然也就不会发现几十步远的慢坡下融过雪的那一坨湿漉漉的土地了。,"A.他往常清早起来在后院的茅厕里撒尿。
B.他因为土岗太脏了，所以不去那里撒尿。
C.这一切都是冥冥之中的神灵给他白嘉轩的糟糕至极的安排。
D.他没有东张西望。",A
152,if,Nature,1952 人民日报,在今年三月，领导方面准备抽调干部时，个别领导干部认为鞍钢的生产很重要，鞍钢的领导骨干和技术人员本来就很缺乏，如果又要抽出大批干部，势必会妨碍生产。,"A.之前存在抽调干部的行为。
B.可能要抽走所有最精英的干部。
C.个别领导干部认为鞍钢的生产不重要。
D.鞍钢的领导骨干和技术人员本来就很充足。",A
153,if,Nature,马烽_西戎 吕梁英雄传,第一点我却不能接受，斗争康顺风的时候，群众情绪很激烈，如果会继续开下去，康顺风会被打死的，那不是破坏了我们的宽大政策吗？,"A.此前就在开会。
B.会已经开了一整天。
C.我们不实施宽大政策。
D.群众很平静。",A
154,if,Nature,刘慈欣 三体III,"当然,程心也明白,维德当时并不知道曲率驱动的尾迹效应,他研制光速飞船的目的,就像那个不知名的星环城战士所说,是在为自由而战,为成为字宙中的自由人而战,为了太阳系外那千万个美妙的世界而战。如果他知道光速飞船是人类唯一活路的话,她相信他是不会受到诺言限制的。","A.人类有活路。
B.光速飞船已经造出来了。
C.维德研制光速飞船的目的是在为利益而战。
D.维德当时知道曲率驱动的尾迹效应。",A
155,if,Nature,戴厚英 人啊人,当然，如果我的男友是一位高级干部，我们的事情或者可以当作“小节”来处理。可是他只是一个普通的大学生，对他来说，没有比这更大的“节”了。更重要的是他的父亲不愿意轻易放过自己的儿子，一定要让他终生记取这个教训。,"A.我有男友。
B.男友的父亲是校领导。
C.我的男友不是一个普通的大学生。
D.男友的父亲想放过自己的儿子。",A
156,if,AI,,孙女士所在团队的纪律很严格。如果孙女士承认她弄丢了会议文件，她需要主动向团队道歉并承担责任。,"A. 会议文件被弄丢了。
B. 孙女士故意弄丢了会议文件。
C. 孙女士所在团队的纪律很松散。
D. 孙女士的团队不需要会议文件。",A
157,if,AI,,小赵为人十分低调，从不夸耀自己的才能。如果她继续隐瞒自己会法语的事实，同事们永远不会发现她的语言天赋。,"A.小赵此前隐瞒了自己会法语的事实。
B.小赵的法语是自学的。
C.小赵经常夸耀自己的才能。
D.小赵为人十分高调。",A
158,if,AI,,陈先生所在的公司很人性化。如果陈先生停止隐瞒自己的健康状况，公司会理解他的请假需求。,"A.陈先生目前隐瞒了自己的健康状况。
B.陈先生得了癌症。
C.陈先生所在的公司很不人性化。
D.陈先生不需要请假。",A
159,if,AI,,涉案双方陷入僵持。如果杨女士仍然拒绝签署和解协议，案件将进入诉讼程序。,"A.杨女士此前拒绝签署和解协议。
B.杨女士因对赔偿金额不满意而拒绝签署协议。
C.涉案双方握手言和。
D.案件从未涉及和解协议。",A
160,if,AI,,小李和小周是大学同学。她们关系很好，常常一起学习。如果小李早点意识到大学毕业以后她们就会到不同的城市工作生活，他一定会好好珍惜这段时光。,"A.大学毕业以后小李和小周就会到不同的城市工作生活。
B.小李和小周都准备回自己的家乡工作。
C.小李和小周关系不好。
D.小李和小周从不一起学习。",A
161,if,AI,,张先生所在的公司最近在严查财务漏洞。如果张先生开始隐瞒公司财务漏洞，股东会很快察觉异常。,"A.张先生此前没有隐瞒财务漏洞。
B.张先生故意制造了财务漏洞。
C.张先生所在的公司最近没有在严查财务漏洞。
D.公司从未存在财务漏洞。",A
162,if,AI,,这件案件很难处理。如果李女士停止提出相关指控，调查组会重新评估证据，确保公正司法。,"A. 李女士此前提出指控。
B. 李女士的指控不合理。
C. 调查组不确保公正司法。
D. 这件案件很容易处理。",A
163,if,AI,,陈医生认真负责，关心患者。如果陈医生对未参与手术方案讨论感到遗憾，团队会重新安排会议。,"A. 之前对手术方案开展了讨论。
B. 手术方案存在严重错误。
C. 陈医生一点也不认真负责。
D. 陈医生不关心患者。",A
164,if,AI,,这次项目验收很严格，对不合格的产品都会退回重做。如果老周继续隐瞒设备老化问题，项目验收可能无法通过。,"A. 老周之前隐瞒设备老化问题。
B. 老周故意损坏了设备。
C. 这次项目验收不严格。
D. 不合格的产品不会退回重做。",A
165,if,AI,,小林是公司里的“大嘴巴”，什么秘密都守不住。如果小林的朋友告诉小林，小张和老板在谈办公室恋情，那么很快公司就会人尽皆知。,"A. 小林有朋友。
B. 这个公司不允许办公室恋情。
C. 小林善于保守秘密。
D. 小林嘴巴很严。",A
166,if,AI,,这次合作十分重要，容不得半点疏忽。如果小蒋暂停和大公司的合作，那么大公司会把项目给其他人。,"A. 小蒋之前和大公司有合作。
B. 小蒋与合作方合作非常不愉快。
C. 这次合作不重要。
D. 这次合作允许疏忽。",A
167,if,AI,,如果公司本着“坦白从宽”的原则，如果老李的同事承认收到投诉邮件，IT部门就不会强制核查其系统记录。,"A. 老李有同事。
B. 老李的同事因为态度恶劣被投诉。
C. 公司秉持“坦白从严”的原则。
D. IT部门无法查看系统记录。",A
168,if,AI,,最近经济形势不好，很多公司都在大规模裁员。如果杨总回避谈及公司的裁员计划，员工会更加摸不着头脑，乱加揣测。,"A. 公司有裁员计划。
B. 公司准备超大规模裁员。
C. 很多公司都在大规模招人。
D. 最近经济形势挺好。",A
169,if,AI,,团队合作最重要的就是沟通和交流，上下级之间也是如此。如果公司持续忽视员工反馈，团队士气会逐渐低落。,"A. 公司此前忽视了员工反馈。
B. 员工反馈多为无关建议。
C. 团队合作最无关紧要的就是沟通和交流。
D. 上下级之间不需要沟通交流。",A
170,if,AI,,如果小明的姐姐真的疼爱小明，就不会随意打骂小明。小明常常一个人躲在自己房间里，一言不发。,"A. 小明有姐姐。
B. 小明的姐姐很美丽。
C. 小明经常出去玩。
D. 小明很健谈。",A
171,if,AI,,如果母亲惦记孩子爱吃家里腌的火腿，她会定期寄一些去。母亲总是非常关心自己的孩子，对孩子的喜好了如指掌。,"A. 家里有腌的火腿。
B. 孩子在上海上大学。
C. 母亲对孩子的喜好一无所知。
D. 母亲不关心孩子。",A
172,if,AI,,公司组织了优秀员工的海外培训。如果小周羡慕同事的海外培训机会，她会申请下一批名额。,"A. 同事获得了海外培训资格。
B. 海外培训需要部分自费。
C. 公司组织了优秀员工的海内培训。
D. 海外培训的机会仅此一次。",A
173,if,AI,,失败是成功之母。如果团队深刻反省项目失败原因，投资者会给予二次机会。,"A. 项目失败了。
B. 团队对项目的失败负主要责任。
C. 失败是成功之子。
D. 投资者只会给团队一次机会。",A
174,if,AI,,产品的质量是最重要的，公司在此次质量排查中发现了问题。如果公司断绝与问题供应商的合作，生产线将寻找替代方案。,"A. 公司此前与问题供应商有合作。
B. 公司的所有产品都来自问题供应商。
C. 产品的质量是最不重要的。
D. 公司在此次质量排查中没有发现问题。",A
175,if,AI,,对小张来说，身体是最重要的，工作是第二位。如果因为工作耽误了固定的吃药的时间，这是得不偿失的。,"A. 小张有固定的吃药的时间。
B. 小张吃的是进口药。
C. 对小张来说，身体是最不重要的。
D. 小张认为工作是第一位。",A
176,if,AI,,目前产品的合格率较低。质量检测是产品的最后一道防线。如果工厂及时改正质检流程的漏洞，产品合格率会显著提升。,"A. 质检流程存在漏洞。
B. 质检流程的漏洞非常大。
C. 质量检测是产品的第一道防线。
D. 目前产品的合格率较高。",A
177,if,AI,,张老师不仅专业水平优秀，而且为人热情。如果校长公布张老师获得教学奖项的消息，学校会安排专题报道。,"A. 张老师获得了教学奖项。
B. 张老师参与的是市级教学比赛。
C. 张老师专业水平很差。
D. 张老师为人不热情。",A
178,if,AI,,年度审计是保障公司正常运行的重要环节。如果董事会暂停对分公司的审计，管理层会公开整改报告。,"A. 董事会在对分公司开展审计工作。
B. 对分公司的审计比对母公司的还要严格。
C. 年度审计不是保障公司正常运行的重要环节。
D. 分公司从未接受过审计。",A
179,if,AI,,我们要严格杜绝校园霸凌，保护未成年人身心健康。就算小夏原谅了小明和小林对她的霸凌行为，他们仍然会受到惩罚。,"A. 小夏遭到了同学们的霸凌。
B. 小夏因为成绩不好而被霸凌。
C. 我们不用严格杜绝校园霸凌。
D. 我们不用保护未成年人。",A
180,if,AI,,我的朋友乘高铁来找我玩，她准备住在我家。如果我家附近的那个景点开放，我们就去那里拍照打卡。,"A. 我家附近有个景点。
B. 我家附近的景点经常不开放。
C. 我的朋友准备住在酒店。
D. 我的朋友坐飞机来找我玩。",A
